business_id,year,gross_revenue,net_income,name,industry,size,region,start_year,incentive_type,duration_years,estimated_savings,corp_tax_before,corp_tax_after
3,2019,173978832,27122894,"Mcclain, Miller and Henderson",ICT,MSME,Region V,2010,Enhanced Deductions,6.0,6188834.0,0.3,0.3
3,2020,200521685,34591459,"Mcclain, Miller and Henderson",ICT,MSME,Region V,2010,Enhanced Deductions,6.0,6188834.0,0.3,0.3
3,2021,242885386,32784471,"Mcclain, Miller and Henderson",ICT,MSME,Region V,2010,Enhanced Deductions,6.0,6188834.0,0.3,0.25
3,2022,484137755,27739181,"Mcclain, Miller and Henderson",ICT,MSME,Region V,2010,Enhanced Deductions,6.0,6188834.0,0.25,0.25
3,2023,246925458,60652104,"Mcclain, Miller and Henderson",ICT,MSME,Region V,2010,Enhanced Deductions,6.0,6188834.0,0.25,0.25
3,2024,170636164,41294181,"Mcclain, Miller and Henderson",ICT,MSME,Region V,2010,Enhanced Deductions,6.0,6188834.0,0.25,0.25
4,2018,123504954,12112362,Davis and Sons,Agriculture,MSME,Region III,2018,Income Tax Holiday,3.0,7143919.0,0.3,0.3
4,2019,276883164,69585212,Davis and Sons,Agriculture,MSME,Region III,2018,Income Tax Holiday,3.0,7143919.0,0.3,0.3
4,2020,20510916,3205607,Davis and Sons,Agriculture,MSME,Region III,2018,Income Tax Holiday,3.0,7143919.0,0.3,0.3
4,2021,135200125,35727894,Davis and Sons,Agriculture,MSME,Region III,2018,Income Tax Holiday,3.0,7143919.0,0.3,0.25
4,2022,203389729,23292626,Davis and Sons,Agriculture,MSME,Region III,2018,Income Tax Holiday,3.0,7143919.0,0.25,0.25
4,2023,222130225,59746680,Davis and Sons,Agriculture,MSME,Region III,2018,Income Tax Holiday,3.0,7143919.0,0.25,0.25
4,2024,425519768,35191137,Davis and Sons,Agriculture,MSME,Region III,2018,Income Tax Holiday,3.0,7143919.0,0.25,0.25
5,2018,345125620,33160131,"Guzman, Hoffman and Baldwin",Renewable Energy,MSME,Region III,2021,Special Corporate Income Tax,5.0,9942749.0,0.3,0.3
5,2019,229806089,30823162,"Guzman, Hoffman and Baldwin",Renewable Energy,MSME,Region III,2021,Special Corporate Income Tax,5.0,9942749.0,0.3,0.3
5,2020,160257936,10184087,"Guzman, Hoffman and Baldwin",Renewable Energy,MSME,Region III,2021,Special Corporate Income Tax,5.0,9942749.0,0.3,0.3
5,2021,217864155,45349731,"Guzman, Hoffman and Baldwin",Renewable Energy,MSME,Region III,2021,Special Corporate Income Tax,5.0,9942749.0,0.3,0.25
5,2022,329082373,66494396,"Guzman, Hoffman and Baldwin",Renewable Energy,MSME,Region III,2021,Special Corporate Income Tax,5.0,9942749.0,0.25,0.25
5,2023,127890885,35980575,"Guzman, Hoffman and Baldwin",Renewable Energy,MSME,Region III,2021,Special Corporate Income Tax,5.0,9942749.0,0.25,0.25
5,2024,9915641,2218110,"Guzman, Hoffman and Baldwin",Renewable Energy,MSME,Region III,2021,Special Corporate Income Tax,5.0,9942749.0,0.25,0.25
6,2018,367531505,57472338,"Gardner, Robinson and Lawrence",ICT,MSME,Region VI,2019,Special Corporate Income Tax,6.0,17941209.0,0.3,0.3
6,2019,464333592,44893867,"Gardner, Robinson and Lawrence",ICT,MSME,Region VI,2019,Special Corporate Income Tax,6.0,17941209.0,0.3,0.3
6,2020,98902968,8707314,"Gardner, Robinson and Lawrence",ICT,MSME,Region VI,2019,Special Corporate Income Tax,6.0,17941209.0,0.3,0.3
6,2021,102197231,29720972,"Gardner, Robinson and Lawrence",ICT,MSME,Region VI,2019,Special Corporate Income Tax,6.0,17941209.0,0.3,0.25
6,2022,433526015,70656757,"Gardner, Robinson and Lawrence",ICT,MSME,Region VI,2019,Special Corporate Income Tax,6.0,17941209.0,0.25,0.25
6,2023,478173436,81094018,"Gardner, Robinson and Lawrence",ICT,MSME,Region VI,2019,Special Corporate Income Tax,6.0,17941209.0,0.25,0.25
6,2024,357533143,60239724,"Gardner, Robinson and Lawrence",ICT,MSME,Region VI,2019,Special Corporate Income Tax,6.0,17941209.0,0.25,0.25
7,2018,220411991,18422946,Blake and Sons,FinTech,Large,NCR,2012,,,,0.3,0.3
7,2019,174654023,35510355,Blake and Sons,FinTech,Large,NCR,2012,,,,0.3,0.3
7,2020,214456704,12210569,Blake and Sons,FinTech,Large,NCR,2012,,,,0.3,0.3
7,2021,47447743,4470496,Blake and Sons,FinTech,Large,NCR,2012,,,,0.3,0.25
7,2022,385717156,114123478,Blake and Sons,FinTech,Large,NCR,2012,,,,0.25,0.25
7,2023,54553268,7808062,Blake and Sons,FinTech,Large,NCR,2012,,,,0.25,0.25
7,2024,462299576,81290814,Blake and Sons,FinTech,Large,NCR,2012,,,,0.25,0.25
8,2018,139862534,25644106,"Henderson, Ramirez and Lewis",Education,MSME,Region II,2013,Special Corporate Income Tax,6.0,22510338.0,0.3,0.3
8,2019,282599575,59304783,"Henderson, Ramirez and Lewis",Education,MSME,Region II,2013,Special Corporate Income Tax,6.0,22510338.0,0.3,0.3
8,2020,37195407,1916672,"Henderson, Ramirez and Lewis",Education,MSME,Region II,2013,Special Corporate Income Tax,6.0,22510338.0,0.3,0.3
8,2021,490566050,144646938,"Henderson, Ramirez and Lewis",Education,MSME,Region II,2013,Special Corporate Income Tax,6.0,22510338.0,0.3,0.25
8,2022,13060587,1006800,"Henderson, Ramirez and Lewis",Education,MSME,Region II,2013,Special Corporate Income Tax,6.0,22510338.0,0.25,0.25
8,2023,321114920,57501276,"Henderson, Ramirez and Lewis",Education,MSME,Region II,2013,Special Corporate Income Tax,6.0,22510338.0,0.25,0.25
8,2024,217644344,37064851,"Henderson, Ramirez and Lewis",Education,MSME,Region II,2013,Special Corporate Income Tax,6.0,22510338.0,0.25,0.25
9,2018,270501035,80584758,Garcia-James,Construction,MSME,Region V,2011,Enhanced Deductions,5.0,14573844.0,0.3,0.3
9,2019,73640103,7288231,Garcia-James,Construction,MSME,Region V,2011,Enhanced Deductions,5.0,14573844.0,0.3,0.3
9,2020,47483746,4426543,Garcia-James,Construction,MSME,Region V,2011,Enhanced Deductions,5.0,14573844.0,0.3,0.3
9,2021,324719722,87875533,Garcia-James,Construction,MSME,Region V,2011,Enhanced Deductions,5.0,14573844.0,0.3,0.25
9,2022,197395702,31785067,Garcia-James,Construction,MSME,Region V,2011,Enhanced Deductions,5.0,14573844.0,0.25,0.25
9,2023,426762284,117067869,Garcia-James,Construction,MSME,Region V,2011,Enhanced Deductions,5.0,14573844.0,0.25,0.25
9,2024,435524305,51522211,Garcia-James,Construction,MSME,Region V,2011,Enhanced Deductions,5.0,14573844.0,0.25,0.25
10,2018,77429262,23116816,Abbott-Munoz,Construction,Large,Region VIII,2014,,,,0.3,0.3
10,2019,224337903,55665430,Abbott-Munoz,Construction,Large,Region VIII,2014,,,,0.3,0.3
10,2020,462812265,42128636,Abbott-Munoz,Construction,Large,Region VIII,2014,,,,0.3,0.3
10,2021,440933269,68894519,Abbott-Munoz,Construction,Large,Region VIII,2014,,,,0.3,0.25
10,2022,84067525,19555091,Abbott-Munoz,Construction,Large,Region VIII,2014,,,,0.25,0.25
10,2023,498664481,45456246,Abbott-Munoz,Construction,Large,Region VIII,2014,,,,0.25,0.25
10,2024,114463119,20854089,Abbott-Munoz,Construction,Large,Region VIII,2014,,,,0.25,0.25
11,2018,127840126,29895917,Blair PLC,Agriculture,MSME,Region VII,2011,Special Corporate Income Tax,6.0,10724504.0,0.3,0.3
11,2019,479861217,81423068,Blair PLC,Agriculture,MSME,Region VII,2011,Special Corporate Income Tax,6.0,10724504.0,0.3,0.3
11,2020,127393655,20067166,Blair PLC,Agriculture,MSME,Region VII,2011,Special Corporate Income Tax,6.0,10724504.0,0.3,0.3
11,2021,378895313,74712680,Blair PLC,Agriculture,MSME,Region VII,2011,Special Corporate Income Tax,6.0,10724504.0,0.3,0.25
11,2022,212162081,56562324,Blair PLC,Agriculture,MSME,Region VII,2011,Special Corporate Income Tax,6.0,10724504.0,0.25,0.25
11,2023,290770989,18034611,Blair PLC,Agriculture,MSME,Region VII,2011,Special Corporate Income Tax,6.0,10724504.0,0.25,0.25
11,2024,302484269,41618387,Blair PLC,Agriculture,MSME,Region VII,2011,Special Corporate Income Tax,6.0,10724504.0,0.25,0.25
12,2018,444697806,92892703,Dudley Group,Education,MSME,Region IV-A,2020,Income Tax Holiday,3.0,16507589.0,0.3,0.3
12,2019,202834665,60008689,Dudley Group,Education,MSME,Region IV-A,2020,Income Tax Holiday,3.0,16507589.0,0.3,0.3
12,2020,280981768,26329988,Dudley Group,Education,MSME,Region IV-A,2020,Income Tax Holiday,3.0,16507589.0,0.3,0.3
12,2021,73674757,5956712,Dudley Group,Education,MSME,Region IV-A,2020,Income Tax Holiday,3.0,16507589.0,0.3,0.25
12,2022,304301280,68065815,Dudley Group,Education,MSME,Region IV-A,2020,Income Tax Holiday,3.0,16507589.0,0.25,0.25
12,2023,129855089,22837052,Dudley Group,Education,MSME,Region IV-A,2020,Income Tax Holiday,3.0,16507589.0,0.25,0.25
12,2024,476721602,54014678,Dudley Group,Education,MSME,Region IV-A,2020,Income Tax Holiday,3.0,16507589.0,0.25,0.25
13,2018,432840970,103061756,Arnold Ltd,Renewable Energy,Large,Region IV-B,2019,,,,0.3,0.3
13,2019,149071861,9210743,Arnold Ltd,Renewable Energy,Large,Region IV-B,2019,,,,0.3,0.3
13,2020,367828436,105251601,Arnold Ltd,Renewable Energy,Large,Region IV-B,2019,,,,0.3,0.3
13,2021,141614687,17896665,Arnold Ltd,Renewable Energy,Large,Region IV-B,2019,,,,0.3,0.25
13,2022,202260995,24534610,Arnold Ltd,Renewable Energy,Large,Region IV-B,2019,,,,0.25,0.25
13,2023,255839004,34444833,Arnold Ltd,Renewable Energy,Large,Region IV-B,2019,,,,0.25,0.25
13,2024,83190950,22250882,Arnold Ltd,Renewable Energy,Large,Region IV-B,2019,,,,0.25,0.25
14,2018,458929693,123917267,"Mcclure, Ward and Lee",Retail,MSME,NCR,2020,,,,0.3,0.3
14,2019,64809385,5507885,"Mcclure, Ward and Lee",Retail,MSME,NCR,2020,,,,0.3,0.3
14,2020,108910877,9643073,"Mcclure, Ward and Lee",Retail,MSME,NCR,2020,,,,0.3,0.3
14,2021,387748816,114843976,"Mcclure, Ward and Lee",Retail,MSME,NCR,2020,,,,0.3,0.25
14,2022,158258371,38367800,"Mcclure, Ward and Lee",Retail,MSME,NCR,2020,,,,0.25,0.25
14,2023,335055680,80861499,"Mcclure, Ward and Lee",Retail,MSME,NCR,2020,,,,0.25,0.25
14,2024,397437716,116961004,"Mcclure, Ward and Lee",Retail,MSME,NCR,2020,,,,0.25,0.25
15,2018,371238355,105810817,Williams and Sons,Retail,MSME,Region I,2013,Income Tax Holiday,3.0,21137389.0,0.3,0.3
15,2019,398762511,101245692,Williams and Sons,Retail,MSME,Region I,2013,Income Tax Holiday,3.0,21137389.0,0.3,0.3
15,2020,50562509,8225889,Williams and Sons,Retail,MSME,Region I,2013,Income Tax Holiday,3.0,21137389.0,0.3,0.3
15,2021,488812164,118971216,Williams and Sons,Retail,MSME,Region I,2013,Income Tax Holiday,3.0,21137389.0,0.3,0.25
15,2022,415253814,42177323,Williams and Sons,Retail,MSME,Region I,2013,Income Tax Holiday,3.0,21137389.0,0.25,0.25
15,2023,361749674,44628137,Williams and Sons,Retail,MSME,Region I,2013,Income Tax Holiday,3.0,21137389.0,0.25,0.25
15,2024,349411099,76741004,Williams and Sons,Retail,MSME,Region I,2013,Income Tax Holiday,3.0,21137389.0,0.25,0.25
16,2018,94312578,16252066,Galloway-Wyatt,Manufacturing,MSME,Region VI,2020,Special Corporate Income Tax,3.0,7235699.0,0.3,0.3
16,2019,21484673,2103500,Galloway-Wyatt,Manufacturing,MSME,Region VI,2020,Special Corporate Income Tax,3.0,7235699.0,0.3,0.3
16,2020,452000887,85325206,Galloway-Wyatt,Manufacturing,MSME,Region VI,2020,Special Corporate Income Tax,3.0,7235699.0,0.3,0.3
16,2021,208746252,46189439,Galloway-Wyatt,Manufacturing,MSME,Region VI,2020,Special Corporate Income Tax,3.0,7235699.0,0.3,0.25
16,2022,445045035,30349397,Galloway-Wyatt,Manufacturing,MSME,Region VI,2020,Special Corporate Income Tax,3.0,7235699.0,0.25,0.25
16,2023,259870238,35968002,Galloway-Wyatt,Manufacturing,MSME,Region VI,2020,Special Corporate Income Tax,3.0,7235699.0,0.25,0.25
16,2024,11772942,2516627,Galloway-Wyatt,Manufacturing,MSME,Region VI,2020,Special Corporate Income Tax,3.0,7235699.0,0.25,0.25
17,2018,37630054,9418766,James Group,Construction,MSME,Region IV-B,2013,Enhanced Deductions,3.0,25569075.0,0.3,0.3
17,2019,41116136,8292513,James Group,Construction,MSME,Region IV-B,2013,Enhanced Deductions,3.0,25569075.0,0.3,0.3
17,2020,212782393,61830105,James Group,Construction,MSME,Region IV-B,2013,Enhanced Deductions,3.0,25569075.0,0.3,0.3
17,2021,448832025,27120961,James Group,Construction,MSME,Region IV-B,2013,Enhanced Deductions,3.0,25569075.0,0.3,0.25
17,2022,181604391,41531025,James Group,Construction,MSME,Region IV-B,2013,Enhanced Deductions,3.0,25569075.0,0.25,0.25
17,2023,109347262,6374949,James Group,Construction,MSME,Region IV-B,2013,Enhanced Deductions,3.0,25569075.0,0.25,0.25
17,2024,331890380,99096655,James Group,Construction,MSME,Region IV-B,2013,Enhanced Deductions,3.0,25569075.0,0.25,0.25
18,2018,128235712,16830927,"Flowers, Martin and Kelly",FinTech,MSME,Region I,2019,,,,0.3,0.3
18,2019,297765730,52335402,"Flowers, Martin and Kelly",FinTech,MSME,Region I,2019,,,,0.3,0.3
18,2020,82753052,9656563,"Flowers, Martin and Kelly",FinTech,MSME,Region I,2019,,,,0.3,0.3
18,2021,484852126,52053391,"Flowers, Martin and Kelly",FinTech,MSME,Region I,2019,,,,0.3,0.25
18,2022,460143301,49410002,"Flowers, Martin and Kelly",FinTech,MSME,Region I,2019,,,,0.25,0.25
18,2023,169058993,8952320,"Flowers, Martin and Kelly",FinTech,MSME,Region I,2019,,,,0.25,0.25
18,2024,465548520,130450482,"Flowers, Martin and Kelly",FinTech,MSME,Region I,2019,,,,0.25,0.25
19,2018,380812141,94045295,"Adams, Zuniga and Wong",BPO,MSME,Region III,2012,,,,0.3,0.3
19,2019,402448923,30569714,"Adams, Zuniga and Wong",BPO,MSME,Region III,2012,,,,0.3,0.3
19,2020,42110436,9634398,"Adams, Zuniga and Wong",BPO,MSME,Region III,2012,,,,0.3,0.3
19,2021,217782893,34874750,"Adams, Zuniga and Wong",BPO,MSME,Region III,2012,,,,0.3,0.25
19,2022,276203821,33600590,"Adams, Zuniga and Wong",BPO,MSME,Region III,2012,,,,0.25,0.25
19,2023,490869777,32760755,"Adams, Zuniga and Wong",BPO,MSME,Region III,2012,,,,0.25,0.25
19,2024,233161896,31788149,"Adams, Zuniga and Wong",BPO,MSME,Region III,2012,,,,0.25,0.25
20,2018,97476000,11669196,"Reid, Ferguson and Sanchez",Healthcare,MSME,Region VII,2013,Income Tax Holiday,4.0,4820331.0,0.3,0.3
20,2019,141576362,39527758,"Reid, Ferguson and Sanchez",Healthcare,MSME,Region VII,2013,Income Tax Holiday,4.0,4820331.0,0.3,0.3
20,2020,197986013,22850197,"Reid, Ferguson and Sanchez",Healthcare,MSME,Region VII,2013,Income Tax Holiday,4.0,4820331.0,0.3,0.3
20,2021,234510963,14861382,"Reid, Ferguson and Sanchez",Healthcare,MSME,Region VII,2013,Income Tax Holiday,4.0,4820331.0,0.3,0.25
20,2022,290474114,29792914,"Reid, Ferguson and Sanchez",Healthcare,MSME,Region VII,2013,Income Tax Holiday,4.0,4820331.0,0.25,0.25
20,2023,292269001,78840161,"Reid, Ferguson and Sanchez",Healthcare,MSME,Region VII,2013,Income Tax Holiday,4.0,4820331.0,0.25,0.25
20,2024,374600204,24906922,"Reid, Ferguson and Sanchez",Healthcare,MSME,Region VII,2013,Income Tax Holiday,4.0,4820331.0,0.25,0.25
21,2018,328608287,67326997,Gray-Mayo,Construction,Large,NCR,2013,Enhanced Deductions,4.0,28193755.0,0.3,0.3
21,2019,246772541,55806179,Gray-Mayo,Construction,Large,NCR,2013,Enhanced Deductions,4.0,28193755.0,0.3,0.3
21,2020,301605644,23159779,Gray-Mayo,Construction,Large,NCR,2013,Enhanced Deductions,4.0,28193755.0,0.3,0.3
21,2021,349556762,77447831,Gray-Mayo,Construction,Large,NCR,2013,Enhanced Deductions,4.0,28193755.0,0.3,0.25
21,2022,410687451,114001528,Gray-Mayo,Construction,Large,NCR,2013,Enhanced Deductions,4.0,28193755.0,0.25,0.25
21,2023,394782760,85817689,Gray-Mayo,Construction,Large,NCR,2013,Enhanced Deductions,4.0,28193755.0,0.25,0.25
21,2024,134344855,28334988,Gray-Mayo,Construction,Large,NCR,2013,Enhanced Deductions,4.0,28193755.0,0.25,0.25
22,2018,71213817,6179286,"Watts, Robinson and Nguyen",Agriculture,Large,Region V,2014,Special Corporate Income Tax,5.0,3764974.0,0.3,0.3
22,2019,250077986,72544184,"Watts, Robinson and Nguyen",Agriculture,Large,Region V,2014,Special Corporate Income Tax,5.0,3764974.0,0.3,0.3
22,2020,280142227,60305550,"Watts, Robinson and Nguyen",Agriculture,Large,Region V,2014,Special Corporate Income Tax,5.0,3764974.0,0.3,0.3
22,2021,474296831,87610530,"Watts, Robinson and Nguyen",Agriculture,Large,Region V,2014,Special Corporate Income Tax,5.0,3764974.0,0.3,0.25
22,2022,212230329,53264778,"Watts, Robinson and Nguyen",Agriculture,Large,Region V,2014,Special Corporate Income Tax,5.0,3764974.0,0.25,0.25
22,2023,309888205,60372398,"Watts, Robinson and Nguyen",Agriculture,Large,Region V,2014,Special Corporate Income Tax,5.0,3764974.0,0.25,0.25
22,2024,319781290,58175714,"Watts, Robinson and Nguyen",Agriculture,Large,Region V,2014,Special Corporate Income Tax,5.0,3764974.0,0.25,0.25
23,2018,421832599,37438017,Perez Inc,Manufacturing,MSME,Region VIII,2021,,,,0.3,0.3
23,2019,481056759,115974868,Perez Inc,Manufacturing,MSME,Region VIII,2021,,,,0.3,0.3
23,2020,326505376,21298016,Perez Inc,Manufacturing,MSME,Region VIII,2021,,,,0.3,0.3
23,2021,173847018,29607922,Perez Inc,Manufacturing,MSME,Region VIII,2021,,,,0.3,0.25
23,2022,382461897,31825123,Perez Inc,Manufacturing,MSME,Region VIII,2021,,,,0.25,0.25
23,2023,262344391,19981075,Perez Inc,Manufacturing,MSME,Region VIII,2021,,,,0.25,0.25
23,2024,455835027,74006427,Perez Inc,Manufacturing,MSME,Region VIII,2021,,,,0.25,0.25
24,2018,78836015,8943810,Morales-Jones,Construction,MSME,Region VI,2016,,,,0.3,0.3
24,2019,129849972,7675080,Morales-Jones,Construction,MSME,Region VI,2016,,,,0.3,0.3
24,2020,53072342,14088688,Morales-Jones,Construction,MSME,Region VI,2016,,,,0.3,0.3
24,2021,326165501,60377068,Morales-Jones,Construction,MSME,Region VI,2016,,,,0.3,0.25
24,2022,209729553,47738252,Morales-Jones,Construction,MSME,Region VI,2016,,,,0.25,0.25
24,2023,98968272,11574329,Morales-Jones,Construction,MSME,Region VI,2016,,,,0.25,0.25
24,2024,490631182,49521256,Morales-Jones,Construction,MSME,Region VI,2016,,,,0.25,0.25
25,2018,303901302,64480067,"Walter, Edwards and Rios",Healthcare,MSME,Region II,2013,,,,0.3,0.3
25,2019,323038515,52455838,"Walter, Edwards and Rios",Healthcare,MSME,Region II,2013,,,,0.3,0.3
25,2020,284958562,31022428,"Walter, Edwards and Rios",Healthcare,MSME,Region II,2013,,,,0.3,0.3
25,2021,309949751,76894564,"Walter, Edwards and Rios",Healthcare,MSME,Region II,2013,,,,0.3,0.25
25,2022,86039521,25291014,"Walter, Edwards and Rios",Healthcare,MSME,Region II,2013,,,,0.25,0.25
25,2023,351856915,75607979,"Walter, Edwards and Rios",Healthcare,MSME,Region II,2013,,,,0.25,0.25
25,2024,273418908,15727299,"Walter, Edwards and Rios",Healthcare,MSME,Region II,2013,,,,0.25,0.25
26,2018,498894724,126832932,Wilkerson-Day,ICT,MSME,Region VIII,2016,,,,0.3,0.3
26,2019,478285812,91661233,Wilkerson-Day,ICT,MSME,Region VIII,2016,,,,0.3,0.3
26,2020,97557875,17489227,Wilkerson-Day,ICT,MSME,Region VIII,2016,,,,0.3,0.3
26,2021,281318835,79061406,Wilkerson-Day,ICT,MSME,Region VIII,2016,,,,0.3,0.25
26,2022,387086026,75295399,Wilkerson-Day,ICT,MSME,Region VIII,2016,,,,0.25,0.25
26,2023,118865556,10929190,Wilkerson-Day,ICT,MSME,Region VIII,2016,,,,0.25,0.25
26,2024,70029341,4285482,Wilkerson-Day,ICT,MSME,Region VIII,2016,,,,0.25,0.25
27,2018,67799390,3642570,Baker and Sons,Renewable Energy,MSME,Region III,2012,Enhanced Deductions,3.0,22747533.0,0.3,0.3
27,2019,128490749,12069429,Baker and Sons,Renewable Energy,MSME,Region III,2012,Enhanced Deductions,3.0,22747533.0,0.3,0.3
27,2020,6134192,331671,Baker and Sons,Renewable Energy,MSME,Region III,2012,Enhanced Deductions,3.0,22747533.0,0.3,0.3
27,2021,376334801,67930459,Baker and Sons,Renewable Energy,MSME,Region III,2012,Enhanced Deductions,3.0,22747533.0,0.3,0.25
27,2022,252663453,40045295,Baker and Sons,Renewable Energy,MSME,Region III,2012,Enhanced Deductions,3.0,22747533.0,0.25,0.25
27,2023,66533101,4080302,Baker and Sons,Renewable Energy,MSME,Region III,2012,Enhanced Deductions,3.0,22747533.0,0.25,0.25
27,2024,20999013,3716422,Baker and Sons,Renewable Energy,MSME,Region III,2012,Enhanced Deductions,3.0,22747533.0,0.25,0.25
28,2018,343969067,68524356,"Hoffman, Baker and Richards",ICT,MSME,NCR,2011,,,,0.3,0.3
28,2019,470915743,89251296,"Hoffman, Baker and Richards",ICT,MSME,NCR,2011,,,,0.3,0.3
28,2020,435590963,95474498,"Hoffman, Baker and Richards",ICT,MSME,NCR,2011,,,,0.3,0.3
28,2021,388790736,56980570,"Hoffman, Baker and Richards",ICT,MSME,NCR,2011,,,,0.3,0.25
28,2022,11015146,2059119,"Hoffman, Baker and Richards",ICT,MSME,NCR,2011,,,,0.25,0.25
28,2023,444069064,55005914,"Hoffman, Baker and Richards",ICT,MSME,NCR,2011,,,,0.25,0.25
28,2024,205076404,29926589,"Hoffman, Baker and Richards",ICT,MSME,NCR,2011,,,,0.25,0.25
29,2018,54897037,6707922,"Ross, Robinson and Bright",BPO,MSME,Region V,2019,,,,0.3,0.3
29,2019,497455136,114975057,"Ross, Robinson and Bright",BPO,MSME,Region V,2019,,,,0.3,0.3
29,2020,486971064,91676261,"Ross, Robinson and Bright",BPO,MSME,Region V,2019,,,,0.3,0.3
29,2021,176436140,37487194,"Ross, Robinson and Bright",BPO,MSME,Region V,2019,,,,0.3,0.25
29,2022,349216546,99824016,"Ross, Robinson and Bright",BPO,MSME,Region V,2019,,,,0.25,0.25
29,2023,321556608,57103208,"Ross, Robinson and Bright",BPO,MSME,Region V,2019,,,,0.25,0.25
29,2024,30428716,7501962,"Ross, Robinson and Bright",BPO,MSME,Region V,2019,,,,0.25,0.25
30,2018,153371569,23816310,"Snyder, Campos and Callahan",Manufacturing,MSME,Region VIII,2017,Income Tax Holiday,3.0,25003247.0,0.3,0.3
30,2019,408230392,98631969,"Snyder, Campos and Callahan",Manufacturing,MSME,Region VIII,2017,Income Tax Holiday,3.0,25003247.0,0.3,0.3
30,2020,300456955,63209723,"Snyder, Campos and Callahan",Manufacturing,MSME,Region VIII,2017,Income Tax Holiday,3.0,25003247.0,0.3,0.3
30,2021,109683070,14117906,"Snyder, Campos and Callahan",Manufacturing,MSME,Region VIII,2017,Income Tax Holiday,3.0,25003247.0,0.3,0.25
30,2022,224401980,59823019,"Snyder, Campos and Callahan",Manufacturing,MSME,Region VIII,2017,Income Tax Holiday,3.0,25003247.0,0.25,0.25
30,2023,321056760,41447803,"Snyder, Campos and Callahan",Manufacturing,MSME,Region VIII,2017,Income Tax Holiday,3.0,25003247.0,0.25,0.25
30,2024,368075711,91108445,"Snyder, Campos and Callahan",Manufacturing,MSME,Region VIII,2017,Income Tax Holiday,3.0,25003247.0,0.25,0.25
31,2018,23720264,1207657,Burton Ltd,ICT,MSME,Region VII,2010,Enhanced Deductions,2.0,17776940.0,0.3,0.3
31,2019,398706362,96994760,Burton Ltd,ICT,MSME,Region VII,2010,Enhanced Deductions,2.0,17776940.0,0.3,0.3
31,2020,14074029,2311814,Burton Ltd,ICT,MSME,Region VII,2010,Enhanced Deductions,2.0,17776940.0,0.3,0.3
31,2021,408510473,61713442,Burton Ltd,ICT,MSME,Region VII,2010,Enhanced Deductions,2.0,17776940.0,0.3,0.25
31,2022,102914211,5235974,Burton Ltd,ICT,MSME,Region VII,2010,Enhanced Deductions,2.0,17776940.0,0.25,0.25
31,2023,443822034,112684234,Burton Ltd,ICT,MSME,Region VII,2010,Enhanced Deductions,2.0,17776940.0,0.25,0.25
31,2024,181858151,52397737,Burton Ltd,ICT,MSME,Region VII,2010,Enhanced Deductions,2.0,17776940.0,0.25,0.25
32,2018,320855272,46458993,Carlson-Cruz,Manufacturing,MSME,Region VII,2014,Enhanced Deductions,5.0,8054038.0,0.3,0.3
32,2019,452799274,31077071,Carlson-Cruz,Manufacturing,MSME,Region VII,2014,Enhanced Deductions,5.0,8054038.0,0.3,0.3
32,2020,15493226,4272022,Carlson-Cruz,Manufacturing,MSME,Region VII,2014,Enhanced Deductions,5.0,8054038.0,0.3,0.3
